Date,Moon,Sun,Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,DateSort
23-06-2011,Pisces,Cancer,Cancer,Gemini,Gemini,Taurusu,Libra,Aries,Pisces ,Capricorn ,2011-06-23
24-06-2011,Aries,Cancer,Cancer,Gemini,Gemini,Taurusu,Libra,Aries,Pisces ,Capricorn ,2011-06-24
25-06-2011,Aries,Cancer,Cancer,Gemini,Gemini,Taurusu,Libra,Aries,Pisces ,Capricorn ,2011-06-25
26-06-2011,Taurusu,Cancer,Cancer,Gemini,Gemini,Taurusu,Libra,Aries,Pisces ,Capricorn ,2011-06-26
27-06-2011,Taurusu,Cancer,Cancer,Gemini,Gemini,Taurusu,Libra,Aries,Pisces ,Capricorn ,2011-06-27
28-06-2011,Taurusu,Cancer,Cancer,Gemini,Gemini,Taurusu,Libra,Aries,Pisces ,Capricorn ,2011-06-28
29-06-2011,Gemini,Cancer,Cancer,Gemini,Gemini,Taurusu,Libra,Aries,Pisces ,Capricorn ,2011-06-29
30-06-2011,Gemini,Cancer,Cancer,Gemini,Gemini,Taurusu,Libra,Aries,Pisces ,Capricorn ,2011-06-30
01-07-2011,Cancer,Cancer,Cancer,Gemini,Gemini,Taurusu,Libra,Aries,Pisces ,Capricorn ,2011-07-01
02-07-2011,Cancer,Cancer,Cancer,Gemini,Gemini,Taurusu,Libra,Aries,Pisces ,Capricorn ,2011-07-02
03-07-2011,Leo,Cancer,Leo,Gemini,Gemini,Taurusu,Libra,Aries,Pisces ,Capricorn ,2011-07-03
04-07-2011,Leo,Cancer,Leo,,Gemini,Taurusu,Libra,Aries,Pisces ,Capricorn ,2011-07-04
05-07-2011,Leo,Cancer,Leo,Cancer,Gemini,Taurusu,Libra,Aries,Pisces ,Capricorn ,2011-07-05
06-07-2011,Virgo,Cancer,Leo,Cancer,Gemini,Taurusu,Libra,Aries,Pisces ,Capricorn ,2011-07-06
07-07-2011,Virgo,Cancer,Leo,Cancer,Gemini,Taurusu,Libra,Aries,Pisces ,Capricorn ,2011-07-07
08-07-2011,Libra,Cancer,Leo,Cancer,Gemini,Taurusu,Libra,Aries,Pisces ,Capricorn ,2011-07-08
09-07-2011,Libra,Cancer,Leo,Cancer,Gemini,Taurusu,Libra,Aries ,Pisces ,Capricorn ,2011-07-09
10-07-2011,Scorpio,Cancer,Leo,Cancer,Gemini,Taurusu,Libra,Aries ,Pisces ,Capricorn ,2011-07-10
11-07-2011,Scorpio,Cancer,Leo,Cancer,Gemini,Taurusu,Libra,Aries ,Pisces ,Capricorn ,2011-07-11
12-07-2011,Sagittarius,Cancer,Leo,Cancer,Gemini,Taurusu,Libra,Aries ,Pisces ,Capricorn ,2011-07-12
13-07-2011,Sagittarius,Cancer,Leo,Cancer,Gemini,Taurusu,Libra,Aries ,Pisces ,Capricorn ,2011-07-13
14-07-2011,Capricorn,Cancer,Leo,Cancer,Gemini,Taurusu,Libra,Aries ,Pisces ,Capricorn ,2011-07-14
15-07-2011,Capricorn,Cancer,Leo,Cancer,Gemini,Taurusu,Libra,Aries ,Pisces ,Capricorn ,2011-07-15
16-07-2011,Aquarius,Cancer,Leo,Cancer,Gemini,Taurusu,Libra,Aries ,Pisces ,Capricorn ,2011-07-16
17-07-2011,Aquarius,Cancer,Leo,Cancer,Gemini,Taurusu,Libra,Aries ,Pisces ,Capricorn ,2011-07-17
18-07-2011,Aquarius,Cancer,Leo,Cancer,Gemini,Taurusu,Libra,Aries ,Pisces ,Capricorn ,2011-07-18
19-07-2011,Pisces,Cancer,Leo,Cancer,Gemini,Taurusu,Libra,Aries ,Pisces ,Capricorn ,2011-07-19
20-07-2011,Pisces,Cancer,Leo,Cancer,Gemini,Taurusu,Libra,Aries ,Pisces ,Capricorn ,2011-07-20
21-07-2011,Aries,Cancer,Leo,Cancer,Gemini,Taurusu,Libra,Aries ,Pisces ,Capricorn ,2011-07-21
22-07-2011,Aries,Cancer,Leo,Cancer,Gemini,Taurusu,Libra,Aries ,Pisces ,Capricorn ,2011-07-22
23-07-2011,Aries,Cancer,Leo,Cancer,Gemini,Taurusu,Libra,Aries ,Pisces ,Capricorn ,2011-07-23
24-07-2011,Taurusu,Leo,Leo,Cancer,Gemini,Taurusu,Libra,Aries ,Pisces ,Capricorn ,2011-07-24
25-07-2011,Taurusu,Leo,Leo,Cancer,Gemini,Taurusu,Libra,Aries ,Pisces ,Capricorn ,2011-07-25
26-07-2011,Gemini,Leo,Leo,Cancer,Gemini,Taurusu,Libra,Aries ,Pisces ,Capricorn ,2011-07-26
27-07-2011,Gemini,Leo,Leo,Cancer,Gemini,Taurusu,Libra,Aries ,Pisces ,Capricorn ,2011-07-27
28-07-2011,Gemini,Leo,Leo,,Gemini,Taurusu,Libra,Aries ,Pisces ,Capricorn ,2011-07-28
29-07-2011,Cancer,Leo,Virgo,Leo,Gemini,Taurusu,Libra,Aries ,Pisces ,Capricorn ,2011-07-29
30-07-2011,Cancer,Leo,Virgo,Leo,Gemini,Taurusu,Libra,Aries ,Pisces ,Capricorn ,2011-07-30
31-07-2011,Leo,Leo,Virgo,Leo,Gemini,Taurusu,Libra,Aries ,Pisces ,Capricorn ,2011-07-31
01-08-2011,Leo,Leo,Virgo,Leo,Gemini,Taurusu,Libra,Aries ,Pisces ,Capricorn ,2011-08-01
02-08-2011,Virgo,Leo,Virgo,Leo,Gemini,Taurusu,Libra,Aries ,Pisces ,Capricorn ,2011-08-02
03-08-2011,Virgo,Leo,,Leo,,Taurusu,Libra,Aries ,Pisces ,Capricorn ,2011-08-03
04-08-2011,Libra,Leo,Virgo,Leo,Cancer,Taurusu,Libra,Aries ,Pisces ,Capricorn ,2011-08-04
05-08-2011,Libra,Leo,Virgo,Leo,Cancer,Taurusu,Libra,Aries ,,Capricorn ,2011-08-05
06-08-2011,Scorpio,Leo,Virgo,Leo,Cancer,Taurusu,Libra,Aries ,Aquarius ,Capricorn ,2011-08-06
07-08-2011,Scorpio,Leo,Virgo,Leo,Cancer,Taurusu,Libra,Aries ,Aquarius ,Capricorn ,2011-08-07
08-08-2011,Sagittarius,Leo,Virgo ,Leo,Cancer,Taurusu,Libra,Aries ,Aquarius ,Capricorn ,2011-08-08
09-08-2011,Sagittarius,Leo,Leo ,Leo,Cancer,Taurusu,Libra,Aries ,Aquarius ,Capricorn ,2011-08-09
10-08-2011,Capricorn,Leo,Leo ,Leo,Cancer,Taurusu,Libra,Aries ,Aquarius ,Capricorn ,2011-08-10
11-08-2011,Capricorn,Leo,Leo ,Leo,Cancer,Taurusu,Libra,Aries ,Aquarius ,Capricorn ,2011-08-11
12-08-2011,Capricorn,Leo,Leo ,Leo,Cancer,Taurusu,Libra,Aries ,Aquarius ,Capricorn ,2011-08-12
13-08-2011,Aquarius,Leo,Leo ,Leo,Cancer,Taurusu,Libra,Aries ,Aquarius ,Capricorn ,2011-08-13
14-08-2011,Aquarius,Leo,Leo ,Leo,Cancer,Taurusu,Libra,Aries ,Aquarius ,Capricorn ,2011-08-14
15-08-2011,Pisces,Leo,Leo ,Leo,Cancer,Taurusu,Libra,Aries ,Aquarius ,Capricorn ,2011-08-15
16-08-2011,Pisces,Leo,Leo ,Leo,Cancer,Taurusu,Libra,Aries ,Aquarius ,Capricorn ,2011-08-16
17-08-2011,Pisces,Leo,Leo ,Leo,Cancer,Taurusu,Libra,Aries ,Aquarius ,Capricorn ,2011-08-17
18-08-2011,Aries,Leo,Leo ,Leo,Cancer,Taurusu,Libra,Aries ,Aquarius ,Capricorn ,2011-08-18
19-08-2011,Aries,Leo,Leo ,Leo,Cancer,Taurusu,Libra,Aries ,Aquarius ,Capricorn ,2011-08-19
20-08-2011,Taurusu,Leo,Leo ,Leo,Cancer,Taurusu,Libra,Aries ,Aquarius ,Capricorn ,2011-08-20
21-08-2011,Taurusu,Leo,Leo ,Leo,Cancer,Taurusu,Libra,Aries ,Aquarius ,Capricorn ,2011-08-21
22-08-2011,Taurusu,Leo,Leo ,,Cancer,Taurusu,Libra,Aries ,Aquarius ,Capricorn ,2011-08-22
23-08-2011,Gemini,Leo,Leo ,Virgo,Cancer,Taurusu,Libra,Aries ,Aquarius ,Capricorn ,2011-08-23
24-08-2011,Gemini,Virgo,Leo ,Virgo,Cancer,Taurusu,Libra,Aries ,Aquarius ,Capricorn ,2011-08-24
25-08-2011,Cancer,Virgo,Leo ,Virgo,Cancer,Taurusu,Libra,Aries ,Aquarius ,Capricorn ,2011-08-25
26-08-2011,Cancer,Virgo,,Virgo,Cancer,Taurusu,Libra,Aries ,Aquarius ,Capricorn ,2011-08-26
27-08-2011,Leo,Virgo,Leo,Virgo,Cancer,Taurusu,Libra,Aries ,Aquarius ,Capricorn ,2011-08-27
28-08-2011,Leo,Virgo,Leo,Virgo,Cancer,Taurusu,Libra,Aries ,Aquarius ,Capricorn ,2011-08-28
29-08-2011,Virgo,Virgo,Leo,Virgo,Cancer,Taurusu,Libra,Aries ,Aquarius ,Capricorn ,2011-08-29
30-08-2011,Virgo,Virgo,Leo,Virgo,Cancer,Taurusu ,Libra,Aries ,Aquarius ,Capricorn ,2011-08-30
31-08-2011,Libra,Virgo,Leo,Virgo,Cancer,Taurusu ,Libra,Aries ,Aquarius ,Capricorn ,2011-08-31
01-09-2011,Libra,Virgo,Leo,Virgo,Cancer,Taurusu ,Libra,Aries ,Aquarius ,Capricorn ,2011-09-01
02-09-2011,Scorpio,Virgo,Leo,Virgo,Cancer,Taurusu ,Libra,Aries ,Aquarius ,Capricorn ,2011-09-02
03-09-2011,Scorpio,Virgo,Leo,Virgo,Cancer,Taurusu ,Libra,Aries ,Aquarius ,Capricorn ,2011-09-03
04-09-2011,Sagittarius,Virgo,Leo,Virgo,Cancer,Taurusu ,Libra,Aries ,Aquarius ,Capricorn ,2011-09-04
05-09-2011,Sagittarius,Virgo,Leo,Virgo,Cancer,Taurusu ,Libra,Aries ,Aquarius ,Capricorn ,2011-09-05
06-09-2011,Sagittarius,Virgo,Leo,Virgo,Cancer,Taurusu ,Libra,Aries ,Aquarius ,Capricorn ,2011-09-06
07-09-2011,Capricorn,Virgo,Leo,Virgo,Cancer,Taurusu ,Libra,Aries ,Aquarius ,Capricorn ,2011-09-07
08-09-2011,Capricorn,Virgo,Leo,Virgo,Cancer,Taurusu ,Libra,Aries ,Aquarius ,Capricorn ,2011-09-08
09-09-2011,Aquarius,Virgo,Leo,Virgo,Cancer,Taurusu ,Libra,Aries ,Aquarius ,Capricorn ,2011-09-09
10-09-2011,Aquarius,Virgo,Virgo,Virgo,Cancer,Taurusu ,Libra,Aries ,Aquarius ,Capricorn ,2011-09-10
11-09-2011,Pisces,Virgo,Virgo,Virgo,Cancer,Taurusu ,Libra,Aries ,Aquarius ,Capricorn ,2011-09-11
12-09-2011,Pisces,Virgo,Virgo,Virgo,Cancer,Taurusu ,Libra,Aries ,Aquarius ,Capricorn ,2011-09-12
13-09-2011,Pisces,Virgo,Virgo,Virgo,Cancer,Taurusu ,Libra,Aries ,Aquarius ,Capricorn ,2011-09-13
14-09-2011,Aries,Virgo,Virgo,Virgo,Cancer,Taurusu ,Libra,Aries ,Aquarius ,Capricorn ,2011-09-14
15-09-2011,Aries,Virgo,Virgo,,Cancer,Taurusu ,Libra,Aries ,Aquarius ,Capricorn ,2011-09-15
16-09-2011,Taurusu,Virgo,Virgo,Libra,Cancer,Taurusu ,Libra,Aries ,Aquarius ,Capricorn ,2011-09-16
17-09-2011,Taurusu,Virgo,Virgo,Libra,Cancer,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-09-17
18-09-2011,Taurusu,Virgo,Virgo,Libra,Cancer,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-09-18
19-09-2011,Gemini,Virgo,Virgo,Libra,,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-09-19
20-09-2011,Gemini,Virgo,Virgo,Libra,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-09-20
21-09-2011,Cancer,Virgo,Virgo,Libra,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-09-21
22-09-2011,Cancer,Virgo,Virgo,Libra,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-09-22
23-09-2011,Cancer,Virgo,Virgo,Libra,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-09-23
24-09-2011,Leo,Libra,Virgo,Libra,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-09-24
25-09-2011,Leo,Libra,Virgo,Libra,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-09-25
26-09-2011,Virgo,Libra,Libra,Libra,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-09-26
27-09-2011,Virgo,Libra,Libra,Libra,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-09-27
28-09-2011,Libra,Libra,Libra,Libra,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-09-28
29-09-2011,Libra,Libra,Libra,Libra,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-09-29
30-09-2011,Scorpio,Libra,Libra,Libra,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-09-30
01-10-2011,Scorpio,Libra,Libra,Libra,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-01
02-10-2011,Sagittarius,Libra,Libra,Libra,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-02
03-10-2011,Sagittarius,Libra,Libra,Libra,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-03
04-10-2011,Capricorn,Libra,Libra,Libra,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-04
05-10-2011,Capricorn,Libra,Libra,Libra,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-05
06-10-2011,Aquarius,Libra,Libra,Libra,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-06
07-10-2011,Aquarius,Libra,Libra,Libra,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-07
08-10-2011,Aquarius,Libra,Libra,Libra,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-08
09-10-2011,Pisces,Libra,Libra,,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-09
10-10-2011,Pisces,Libra,Libra,Scorpio,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-10
11-10-2011,Aries,Libra,Libra,Scorpio,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-11
12-10-2011,Aries,Libra,Libra,Scorpio,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-12
13-10-2011,Aries,Libra,Libra,Scorpio,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-13
14-10-2011,Taurusu,Libra,Scorpio,Scorpio,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-14
15-10-2011,Taurusu,Libra,Scorpio,Scorpio,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-15
16-10-2011,Gemini,Libra,Scorpio,Scorpio,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-16
17-10-2011,Gemini,Libra,Scorpio,Scorpio,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-17
18-10-2011,Gemini,Libra,Scorpio,Scorpio,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-18
19-10-2011,Cancer,Libra,Scorpio,Scorpio,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-19
20-10-2011,Cancer,Libra,Scorpio,Scorpio,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-20
21-10-2011,Leo,Libra,Scorpio,Scorpio,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-21
22-10-2011,Leo,Libra,Scorpio,Scorpio,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-22
23-10-2011,Virgo,Libra,Scorpio,Scorpio,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-23
24-10-2011,Virgo,Scorpio,Scorpio,Scorpio,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-24
25-10-2011,Libra,Scorpio,Scorpio,Scorpio,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-25
26-10-2011,Libra,Scorpio,Scorpio,Scorpio,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-26
27-10-2011,Scorpio,Scorpio,Scorpio,Scorpio,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-27
28-10-2011,Scorpio,Scorpio,Scorpio,Scorpio,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-28
29-10-2011,Sagittarius,Scorpio,Scorpio,Scorpio,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-29
30-10-2011,Sagittarius,Scorpio,Scorpio,Scorpio,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-30
31-10-2011,Capricorn,Scorpio,Scorpio,Scorpio,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-10-31
01-11-2011,Capricorn,Scorpio,Scorpio,Scorpio,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-11-01
02-11-2011,Aquarius,Scorpio,Scorpio,,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-11-02
03-11-2011,Aquarius,Scorpio,Sagittarius,Sagittarius,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-11-03
04-11-2011,Aquarius,Scorpio,Sagittarius,Sagittarius,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-11-04
05-11-2011,Pisces,Scorpio,Sagittarius,Sagittarius,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-11-05
06-11-2011,Pisces,Scorpio,Sagittarius,Sagittarius,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-11-06
07-11-2011,Aries,Scorpio,Sagittarius,Sagittarius,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-11-07
08-11-2011,Aries,Scorpio,Sagittarius,Sagittarius,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-11-08
09-11-2011,Aries,Scorpio,Sagittarius,Sagittarius,Leo,Taurusu ,Libra,Aries ,Aquarius ,Capricorn,2011-11-09
10-11-2011,Taurusu,Scorpio,Sagittarius,Sagittarius,Leo,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-11-10
11-11-2011,Taurusu,Scorpio,Sagittarius,Sagittarius,,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-11-11
12-11-2011,Gemini,Scorpio,Sagittarius,Sagittarius,Virgo,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-11-12
13-11-2011,Gemini,Scorpio,Sagittarius,Sagittarius,Virgo,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-11-13
14-11-2011,Gemini,Scorpio,Sagittarius,Sagittarius,Virgo,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-11-14
15-11-2011,Cancer,Scorpio,Sagittarius,Sagittarius,Virgo,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-11-15
16-11-2011,Cancer,Scorpio,Sagittarius,Sagittarius,Virgo,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-11-16
17-11-2011,Leo,Scorpio,Sagittarius,Sagittarius,Virgo,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-11-17
18-11-2011,Leo,Scorpio,Sagittarius,Sagittarius,Virgo,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-11-18
19-11-2011,Virgo,Scorpio,Sagittarius,Sagittarius,Virgo,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-11-19
20-11-2011,Virgo,Scorpio,Sagittarius,Sagittarius,Virgo,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-11-20
21-11-2011,Virgo,Scorpio,Sagittarius,Sagittarius,Virgo,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-11-21
22-11-2011,Libra,Scorpio,Sagittarius,Sagittarius,Virgo,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-11-22
23-11-2011,Libra,Sagittarius,Sagittarius,Sagittarius,Virgo,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-11-23
24-11-2011,Scorpio,Sagittarius,,Sagittarius,Virgo,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-11-24
25-11-2011,Scorpio,Sagittarius,Sagittarius,Sagittarius,Virgo,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-11-25
26-11-2011,Sagittarius,Sagittarius,Sagittarius,,Virgo,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-11-26
27-11-2011,Sagittarius,Sagittarius,Sagittarius,Capricorn,Virgo,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-11-27
28-11-2011,Capricorn,Sagittarius,Sagittarius,Capricorn,Virgo,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-11-28
29-11-2011,Capricorn,Sagittarius,Sagittarius,Capricorn,Virgo,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-11-29
30-11-2011,Aquarius,Sagittarius,Sagittarius,Capricorn,Virgo,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-11-30
01-12-2011,Aquarius,Sagittarius,Sagittarius,Capricorn,Virgo,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-12-01
02-12-2011,Pisces,Sagittarius,Sagittarius,Capricorn,Virgo,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-12-02
03-12-2011,Pisces,Sagittarius,Sagittarius,Capricorn,Virgo,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-12-03
04-12-2011,Pisces,Sagittarius,Sagittarius,Capricorn,Virgo,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-12-04
05-12-2011,Aries,Sagittarius,Sagittarius,Capricorn,Virgo,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-12-05
06-12-2011,Aries,Sagittarius,Sagittarius,Capricorn,Virgo,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-12-06
07-12-2011,Taurusu,Sagittarius,Sagittarius,Capricorn,Virgo,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-12-07
08-12-2011,Taurusu,Sagittarius,Sagittarius,Capricorn,Virgo,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-12-08
09-12-2011,Taurusu,Sagittarius,Sagittarius,Capricorn,Virgo,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-12-09
10-12-2011,Gemini,Sagittarius,Sagittarius,Capricorn,Virgo,Taurusu ,Libra,Aries ,Aquarius,Capricorn,2011-12-10
11-12-2011,Gemini,Sagittarius,Sagittarius,Capricorn,Virgo,Taurusu ,Libra,Aries,Aquarius,Capricorn,2011-12-11
12-12-2011,Cancer,Sagittarius,Sagittarius,Capricorn,Virgo,Taurusu ,Libra,Aries,Aquarius,Capricorn,2011-12-12
13-12-2011,Cancer,Sagittarius,Sagittarius,Capricorn,Virgo,Taurusu ,Libra,Aries,Aquarius,Capricorn,2011-12-13
14-12-2011,Leo,Sagittarius,,Capricorn,Virgo,Taurusu ,Libra,Aries,Aquarius,Capricorn,2011-12-14
15-12-2011,Leo,Sagittarius,Sagittarius,Capricorn,Virgo,Taurusu ,Libra,Aries,Aquarius,Capricorn,2011-12-15
16-12-2011,Leo,Sagittarius,Sagittarius,Capricorn,Virgo,Taurusu ,Libra,Aries,Aquarius,Capricorn,2011-12-16
17-12-2011,Virgo,Sagittarius,Sagittarius,Capricorn,Virgo,Taurusu ,Libra,Aries,Aquarius,Capricorn,2011-12-17
18-12-2011,Virgo,Sagittarius,Sagittarius,Capricorn,Virgo,Taurusu ,Libra,Aries,Aquarius,Capricorn,2011-12-18
19-12-2011,Libra,Sagittarius,Sagittarius,Capricorn,Virgo,Taurusu ,Libra,Aries,Aquarius,Capricorn,2011-12-19
20-12-2011,Libra,Sagittarius,Sagittarius,,Virgo,Taurusu ,Libra,Aries,Aquarius,Capricorn,2011-12-20
21-12-2011,Scorpio,Sagittarius,Sagittarius,Aquarius,Virgo,Taurusu ,Libra,Aries,Aquarius,Capricorn,2011-12-21
22-12-2011,Scorpio,Sagittarius,Sagittarius,Aquarius,Virgo,Taurusu ,Libra,Aries,Aquarius,Capricorn,2011-12-22
23-12-2011,Sagittarius,Capricorn,Sagittarius,Aquarius,Virgo,Taurusu ,Libra,Aries,Aquarius,Capricorn,2011-12-23
24-12-2011,Sagittarius,Capricorn,Sagittarius,Aquarius,Virgo,Taurusu ,Libra,Aries,Aquarius,Capricorn,2011-12-24
25-12-2011,Capricorn,Capricorn,Sagittarius,Aquarius,Virgo,Taurusu ,Libra,Aries,Aquarius,Capricorn,2011-12-25
26-12-2011,Capricorn,Capricorn,Sagittarius,Aquarius,Virgo,Taurusu,Libra,Aries,Aquarius,Capricorn,2011-12-26
27-12-2011,Aquarius,Capricorn,Sagittarius,Aquarius,Virgo,Taurusu,Libra,Aries,Aquarius,Capricorn,2011-12-27
28-12-2011,Aquarius,Capricorn,Sagittarius,Aquarius,Virgo,Taurusu,Libra,Aries,Aquarius,Capricorn,2011-12-28
29-12-2011,Aquarius,Capricorn,Sagittarius,Aquarius,Virgo,Taurusu,Libra,Aries,Aquarius,Capricorn,2011-12-29
30-12-2011,Pisces,Capricorn,Sagittarius,Aquarius,Virgo,Taurusu,Libra,Aries,Aquarius,Capricorn,2011-12-30
31-12-2011,Pisces,Capricorn,Sagittarius,Aquarius,Virgo,Taurusu,Libra,Aries,Aquarius,Capricorn,2011-12-31
01-01-2012,Aries,Capricorn,Sagittarius,Aquarius,Virgo,Taurusu,Libra,Aries,Aquarius,Capricorn,2012-01-01
02-01-2012,Aries,Capricorn,Sagittarius,Aquarius,Virgo,Taurusu,Libra,Aries,Aquarius,Capricorn,2012-01-02
03-01-2012,Taurusu,Capricorn,Sagittarius,Aquarius,Virgo,Taurusu,Libra,Aries,Aquarius,Capricorn,2012-01-03
04-01-2012,Taurusu,Capricorn,Sagittarius,Aquarius,Virgo,Taurusu,Libra,Aries,Aquarius,Capricorn,2012-01-04
05-01-2012,Taurusu,Capricorn,Sagittarius,Aquarius,Virgo,Taurusu,Libra,Aries,Aquarius,Capricorn,2012-01-05
06-01-2012,Gemini,Capricorn,Sagittarius,Aquarius,Virgo,Taurusu,Libra,Aries,Aquarius,Capricorn,2012-01-06
07-01-2012,Gemini,Capricorn,Sagittarius,Aquarius,Virgo,Taurusu,Libra,Aries,Aquarius,Capricorn,2012-01-07
08-01-2012,Cancer,Capricorn,Sagittarius,Aquarius,Virgo,Taurusu,Libra,Aries,Aquarius,Capricorn,2012-01-08
09-01-2012,Cancer,Capricorn,Capricorn,Aquarius,Virgo,Taurusu,Libra,Aries,Aquarius,Capricorn,2012-01-09
10-01-2012,Cancer,Capricorn,Capricorn,Aquarius,Virgo,Taurusu,Libra,Aries,Aquarius,Capricorn,2012-01-10
11-01-2012,Leo,Capricorn,Capricorn,Aquarius,Virgo,Taurusu,Libra,Aries,Aquarius,Capricorn,2012-01-11
12-01-2012,Leo,Capricorn,Capricorn,Aquarius,Virgo,Taurusu,Libra,Aries,Aquarius,Capricorn,2012-01-12
13-01-2012,Virgo,Capricorn,Capricorn,Aquarius,Virgo,Taurusu,Libra,Aries,Aquarius,Capricorn,2012-01-13
